TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec
201303,Spring 2014,AA,508,AA508,32641,"Leahy, John F.",0,0,5,1,0,0,0,0,0,0,0,0,0,13,0,0,1,19,5,1,0,0,0,6,83.33333333,16.66666667,0,0,0
201501,Fall 2015,AA,508,AA508,10015,"Leahy, John F.",2,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,6,0,0,0,16,62.5,37.5,0,0,0
201502,Winter 2016,AAA,321,AAA321,27061,"Davis, Howard P.",0,9,4,3,5,2,1,0,0,0,0,0,0,4,1,0,1,29,13,10,1,0,0,24,54.16666667,41.66666667,4.166666667,0,0
201302,Winter 2014,AAA,510,AAA510,28485,"Lachman, Charles",0,4,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,12,6,1,0,0,0,7,85.71428571,14.28571429,0,0,0
201401,Fall 2014,AAAP,510,AAAP510,16987,"Sardell, Shannon Mical",0,3,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,11,8,1,0,0,0,9,88.88888889,11.11111111,0,0,0
201402,Winter 2015,AAAP,510,AAAP510,26098,"Miller Dowell, Amy Jeanette",0,5,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2,12,5,7,0,0,0,12,41.66666667,58.33333333,0,0,0
201402,Winter 2015,AAAP,510,AAAP510,26476,"Eisemann, Eric Lee",2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,10,70,30,0,0,0
201501,Fall 2015,AAAP,510,AAAP510,10033,"Sardell, Shannon Mical",0,10,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,17,13,2,0,0,0,15,86.66666667,13.33333333,0,0,0
201502,Winter 2016,AAAP,510,AAAP510,26689,"Heath, Kingston W.",2,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,12,7,5,0,0,0,12,58.33333333,41.66666667,0,0,0
201301,Fall 2013,AAAP,511,AAAP511,10949,"Sardell, Shannon Mical",0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,1,2,13,6,6,0,0,0,12,50,50,0,0,0
201401,Fall 2014,AAAP,511,AAAP511,10125,"Carter, Elizabeth Jean",3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,10,7,3,0,0,0,10,70,30,0,0,0
