TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec,is_faculty
201301,Fall 2013,BI,121,BI121,11833,"Lombardi, Vincent P.",2,1,7,16,42,25,22,19,11,6,1,0,0,20,4,1,4,177,10,83,52,7,0,152,6.578947368,54.60526316,34.21052632,4.605263158,0,0
201304,Summer 2014,BI,121,BI121,45906,"Lombardi, Vincent P.",0,3,1,1,12,5,8,3,1,0,0,0,0,1,0,0,1,35,4,18,12,0,0,34,11.76470588,52.94117647,35.29411765,0,0,0
201401,Fall 2014,BI,121,BI121,11011,"Lombardi, Vincent P.",0,3,10,22,25,25,20,22,13,4,3,1,1,17,2,5,4,173,13,72,55,8,1,149,8.724832215,48.32214765,36.91275168,5.369127517,0.67114094,0
201404,Summer 2015,BI,121,BI121,40341,"Lombardi, Vincent P.",1,4,5,7,7,4,3,1,1,1,0,0,0,6,0,1,1,41,10,18,5,1,0,34,29.41176471,52.94117647,14.70588235,2.941176471,0,0
201501,Fall 2015,BI,121,BI121,10910,"Lombardi, Vincent P.",0,5,7,21,21,21,26,22,13,4,4,0,2,21,3,3,6,173,12,63,61,8,2,146,8.219178082,43.15068493,41.78082192,5.479452055,1.369863014,0
201504,Summer 2016,BI,121,BI121,40315,"Lombardi, Vincent P.",0,0,4,2,4,2,0,1,0,0,0,0,0,1,0,0,1,14,4,8,1,0,0,13,30.76923077,61.53846154,7.692307692,0,0,0
201303,Spring 2014,BI,122,BI122,33540,"Connolly, Amy Alexis",14,13,24,24,28,25,11,12,4,5,4,3,6,11,7,0,4,191,51,77,27,12,6,173,29.47976879,44.50867052,15.60693642,6.936416185,3.468208092,0
201401,Fall 2014,BI,122,BI122,16790,"Stankunas, Kryn",0,5,5,5,7,5,10,5,0,0,0,0,0,4,0,0,2,46,10,17,15,0,0,42,23.80952381,40.47619048,35.71428571,0,0,0
201402,Winter 2015,BI,122,BI122,26364,"Connolly, Amy Alexis",25,18,33,18,14,27,14,7,7,6,3,1,3,14,4,2,3,196,76,59,28,10,3,176,43.18181818,33.52272727,15.90909091,5.681818182,1.704545455,0
201503,Spring 2016,BI,122,BI122,36074,"Vandegrift, Andrew Wayne",25,21,30,24,17,21,15,13,7,2,2,0,1,10,5,1,3,194,76,62,35,4,1,178,42.69662921,34.83146067,19.66292135,2.247191011,0.561797753,0
201302,Winter 2014,BI,123,BI123,22239,"Kelly, Alan James",0,18,14,19,20,14,19,29,20,0,10,0,3,11,3,1,6,181,32,53,68,10,3,166,19.27710843,31.92771084,40.96385542,6.024096386,1.807228916,0
201402,Winter 2015,BI,123,BI123,20932,"Kelly, Alan James",0,15,13,26,19,16,27,18,17,0,12,0,2,4,4,4,7,177,28,61,62,12,2,165,16.96969697,36.96969697,37.57575758,7.272727273,1.212121212,0
201502,Winter 2016,BI,123,BI123,21016,"Kelly, Alan James",0,18,15,21,20,21,22,19,30,0,7,0,2,12,5,1,4,193,33,62,71,7,2,175,18.85714286,35.42857143,40.57142857,4,1.142857143,0
201301,Fall 2013,BI,130,BI130,11842,"Pienaar, Jason",4,12,39,12,20,31,5,8,7,0,0,1,5,10,0,0,8,154,55,63,20,1,5,144,38.19444444,43.75,13.88888889,0.694444444,3.472222222,0
201304,Summer 2014,BI,130,BI130,45909,"Crabtree, Claude Benjamin",0,10,4,3,7,3,2,0,0,0,0,0,1,2,1,1,2,34,14,13,2,0,1,30,46.66666667,43.33333333,6.666666667,0,3.333333333,0
201401,Fall 2014,BI,130,BI130,11020,"Policha, Tobias Joseph",2,16,11,15,12,11,7,5,8,0,10,0,4,3,1,0,6,105,29,38,20,10,4,101,28.71287129,37.62376238,19.8019802,9.900990099,3.96039604,0
201404,Summer 2015,BI,130,BI130,40344,"Crabtree, Claude Benjamin",0,4,6,2,1,4,2,1,0,0,0,0,1,1,1,1,2,24,10,7,3,0,1,21,47.61904762,33.33333333,14.28571429,0,4.761904762,0
201501,Fall 2015,BI,130,BI130,10922,"Policha, Tobias Joseph",3,17,11,2,34,10,2,21,11,0,6,3,6,6,2,0,4,134,31,46,34,9,6,126,24.6031746,36.50793651,26.98412698,7.142857143,4.761904762,0
201504,Summer 2016,BI,130,BI130,40318,"Crabtree, Claude Benjamin",0,4,4,3,7,2,1,0,0,0,0,0,0,0,0,0,2,21,8,12,1,0,0,21,38.0952381,57.14285714,4.761904762,0,0,0
201302,Winter 2014,BI,131,BI131,22248,"Pienaar, Jason",3,15,32,12,30,43,15,10,17,2,0,4,3,3,2,0,8,191,50,85,42,6,3,186,26.88172043,45.69892473,22.58064516,3.225806452,1.612903226,0
